m,Red Degree 80,Red minutes 80,Red Degree 80 complete,Blue Degree 80,Blue Minutes 80,Blue Degree 80 complete,Red degree 300,Red minute 300,Red degree complete,Blue degree 300,Blue minute 300,Blue degree 300,Violet degree 300,Violet minute 300,Violet degree complete
1,162,45,162.75,228,29,228.483333333333,227,52,227.866666666667,227,52,227.866666666667,220,30,220.5
2,159,52,159.866666666667,226,0,226,216,30,216.5,219,45,219.75,,,
3,156,57,156.95,223,30,223.5,205,24,205.4,210,59,210.983333333333,,,
4,153,50,153.833333333333,221,30,221.5,,,,,,,,,
5,150,57,150.95,219,11,219.183333333333,,,,,,,,,
6,147,40,147.666666666667,216,47,216.783333333333,,,,,,,,,
7,144,35,144.583333333333,214,30,214.5,,,,,,,,,
8,141,27,141.45,211,55,211.916666666667,,,,,,,,,
9,138,5,138.083333333333,210,0,210,,,,,,,,,
10,134,51,134.85,207,38,207.633333333333,,,,,,,,,
11,,,,205,25,205.416666666667,,,,,,,,,
12,,,,202,57,202.95,,,,,,,,,
13,,,,200,27,200.45,,,,,,,,,
14,,,,197,55,197.916666666667,,,,,,,,,
